Date,News_Titles,News_Volume
2016-08-10 00:00:00,"[""台積電7月營收下滑6% 降到763.9億元 8月動能回升"", ""鉅亨早報─台積電公布營收  義隆電、上銀法說"", ""永豐期貨台指選擇權盤前－台積電創高 台指續創波段新高"", ""永豐期貨台指選擇權盤後－台積電創高 台指續創波段新高""]",4
2016-08-11 00:00:00,"[""台股盤中─台積電、鴻海領頭殺 急跌逾百點失守5日線""]",1
2016-08-12 00:00:00,[],0
2016-08-15 00:00:00,[],0
2016-08-16 00:00:00,"[""台股盤後－9200業障重 台積電遭空襲 節能股難撐大局 下跌38點""]",1
2016-08-17 00:00:00,[],0
2016-08-18 00:00:00,"[""台股盤後－台積電回神 金融臨門補腳 台指期拉高結算 力守 9100"", ""台股盤中—台積電一枝獨秀撐盤 高價、金融股壓盤 失守9100"", ""台積電揮重「權」出擊 微星、智易新兵喊衝""]",3
2016-08-19 00:00:00,[],0
2016-08-22 00:00:00,[],0
2016-08-23 00:00:00,[],0
2016-08-24 00:00:00,[],0
2016-08-25 00:00:00,[],0
2016-08-26 00:00:00,[],0
2016-08-29 00:00:00,[],0
2016-08-30 00:00:00,[],0
2016-08-31 00:00:00,"[""不到一年 何浩銘離開台積電 轉戰易方資本任職""]",1
2016-09-01 00:00:00,"[""台積電攜手瑞薩 合作開發28奈米自動駕駛車MCU產品"", ""不到一年 何浩銘離開台積電 轉戰易方資本任職""]",2
2016-09-02 00:00:00,"[""台積電攜手瑞薩 合作開發28奈米自動駕駛車MCU產品""]",1
2016-09-05 00:00:00,[],0
2016-09-06 00:00:00,[],0
